,label1,label2,text
47,1,3,I am not able to call helplines Need gas for car so that I can reach home.
48,1,5,my phone is damaged. Requesting spare Want to travel from bangalore to delhi. Any means of transport available?
49,1,2,is it possible to deliver a phone in kormangla as mine is not working Five construction workers started walking from kerela to bihar but are stranded in karnataka border. Get them food and help them go to their home.
50,1,5,due to sim card issue I was not able to create hotspot Five construction workers started walking from kerela to bihar but are stranded in karnataka border.
51,1,0,the network tower broken down in Whitefield Yesterday i saw few people bullying a person from my locality.
52,1,5,calls are not connecting from airtel Want to go back to my family place. Currently staying in the hotel.
53,1,0,I was trying to connect to my family. someone please guide me. 3 people have crashed in my neighbors house for some money matter.
54,1,2,Due to frequent power cuts i am not able to watch tv or radio.  I cannot cook food at my home as I do not have groceries and cooking oil.
55,1,4,Why governement is not spending money to improve the communication services in India? My father is sick. 
56,1,0,Why call center/customer care of COVID19-HelpCare do not respond on time. Yesterday i saw few people bullying a person from my locality.
57,1,5,Helplines numbers are not working properly. Please update them. Five construction workers started walking from kerela to bihar but are stranded in karnataka border.
58,1,3,Tower in my area has sparking issues. I haven't received the big 19 kg gas cannister which I applied for almost 20 days ago.
59,1,2,Whenever i try to reach some authorities from governement they just hang the call and don't respond. I am really irritated by this behaviour. My maid complaint that she has money but was unable to buy groceries as nearby shops are closed and police is not allowing them to go to far places. Please make sure essential services are working properly and Help my maid.Her No. is 7625472689
60,1,5,Telecom companies have raised the prices of net pack so much that they are not affordable. Five construction workers started walking from kerela to bihar but are stranded in karnataka border.
61,1,5,Internet facility provided at railway station is so bad that i am not even able to buy groceries online. Firstline workers facing issues as no cabs are available
62,1,3,There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now. requesting supplies of kerosene
63,1,3,All electricity is down in my society due to which all electronic devices are off. Phone wifi laptop all shut There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
64,3,2,run out of gas. Unable to get gas cylinders I cannot cook food at my home as I do not have groceries and cooking oil.
65,3,4,requesting supplies of kerosene Me and my parents are stuck alone in our house with severe health issues. My father has heart problems and my mother is bedridden. I need medical assistance.
66,3,5,there are drums of flammable oil stored in our locality. Is it possible to store them elsewhere Due to lack in any means of transport horse cart owner is charging very high prices. Please give update when daily buses will resume.
67,3,2,there has ben a leakage in gas pipeline for the past few days. Cant find professionals to fix it. I need daily rations in Attur
68,3,3,Ambulances are unable to function due to scarecitry of fuel. there are drums of flammable oil stored in our locality. Is it possible to store them elsewhere
69,3,0,Too frequent power cuts in our locality. Need supply of kerosine oil to run the generator I am not able to contact my friend from past few days. I think his life is in danger.
70,3,5,Reduce oil prices immidiately My son went to Delhi to prepare for competitive exams and now he is stuck there with some friends as their institution has closed down and he is unable to return. 
71,3,5,All the grocery shops near by do not have any kerosene oil or cooking oil. Government should provide it for people. I came to Bangalore to work and have been stuck here for so long due to the lockdown I need to get to my elderly parents who are in a small town in Maharashtra which is declared a red zone. 
72,3,5,Poor families cook food on the stove using wood. But they cannot go far to collect due to restrictions. Give them fuel for cooking food. Want to travel from bangalore to delhi. Any means of transport available?
73,3,3,Frequent power cut in the area and we do not have candles or oil for lighting.  run out of gas. Unable to get gas cylinders
74,3,0,The constant burning diya lamp in the temple needs oil to continue otherwise it will bring havoc on humanity. I think i am in depression due to mental stress i am facing from my family regarding my marriage.
75,3,4,If you fuel your journey on the opinion of others you are going to run out of gas. I am running out of my insulin injections.
76,3,4,Fuel is precious. Please use it wisely. My blood pressure is low.
77,3,5,In upcoming days CNG usage will rise to more than petrol and diesel. My visa about to get expire. Want some travel arrangements to be done to fly back to Austria.
78,3,1,Please provide coal for burning of stove. due to sim card issue I was not able to create hotspot
79,3,4,We have been eating raw vegetables and fruits for the last 3 days as we do not have cooking gas in our cylinder and no one has delivered our new cylinder which we have requested a long time back. There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
80,3,1,I haven't received the big 19 kg gas cannister which I applied for almost 20 days ago. Internet facility provided at railway station is so bad that i am not even able to buy groceries online.
81,3,1,Need gas for car so that I can reach home. There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now.
82,3,4,There was sparking in my electric generator due to fuel leakage and I got a third degree burn. I am running out of my insulin injections.
83,0,1,I can hear voices of crying children from my neighbor. I think they are being abused. due to sim card issue I was not able to create hotspot
84,0,5,Yesterday i saw few people bullying a person from my locality. I live in pg where its difficult to get food. When are flights and trains getting started.
85,0,5,Was passing by the vathur bus stop and a group of boys teased me. I live in pg where its difficult to get food. When are flights and trains getting started.
86,0,3,I feel that someone is going to break in and kill me. There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
87,0,2,The only shop in my area is charging very high prices for items. Five construction workers started walking from kerela to bihar but are stranded in karnataka border. Get them food and help them go to their home.
88,0,3,An old man is getting abused by his family there are drums of flammable oil stored in our locality. Is it possible to store them elsewhere
89,0,3,Someone is continusly following me. Feeling scared. All the grocery shops near by do not have any kerosene oil or cooking oil. Government should provide it for people.
90,0,1,I am not able to contact my friend from past few days. I think his life is in danger. no connectivity in wifi router due to some wiring problem.
91,0,0,I saw bruises on my maid face. I think she is a victim of domestic violence. Due to lack in any means of transport horse cart owner is charging very high prices.
92,0,1,Due to lack in any means of transport horse cart owner is charging very high prices. Tower in my area has sparking issues.
93,0,2,My father is ill treated. Need prepared food for 20 people in slum
94,0,0,I recently came to know that my brother is adopted and that's why he is ill treated by my parents. Someone is continusly following me. Feeling scared.
95,0,3,Nearby shops are charging way beyond the MRP prices. In upcoming days CNG usage will rise to more than petrol and diesel.
96,0,0,Devesh was beating Aabhas with rod stick. Nearby shops are charging way beyond the MRP prices.
97,0,0,These days students are learning to bully from school itself. I think i am in depression due to mental stress i am facing from my family regarding my marriage.
98,0,5,I think i am in depression due to mental stress i am facing from my family regarding my marriage. Firstline workers facing issues as no cabs are available
99,0,4,Police assaulted senior citizen for not having proper ration cards. I am running out of my insulin injections.
100,0,3,Media houses have to much of liberty and they harass people a lot. Reduce oil prices immidiately
101,0,4,My neighbor Mr. Rao is a salesman who is frustrated due to no income and he fights with his wife shouts horribly and breaks things almost everyday accident in the area and arm broken need to go to hospital
102,0,2,An elderly man in our locality was tested positive for coronavirus long back has recovered and since then everybody is hateful of the entire family and even the shopkeepers harass them by refusing to sell items to them.  Need groceries for a family in quarantine
103,0,2,3 people have crashed in my neighbors house for some money matter. I want bread and rice for my home
104,4,1,Two people suffering from fever and cold is it possible to deliver a phone in kormangla as mine is not working
105,4,2,I need to take my father to hospital for dialysis. The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities to buy groceries and medicines. Help us.
106,4,0,Equipment required at hospital. patients need mask and sanitizers I think i am in depression due to mental stress i am facing from my family regarding my marriage.
107,4,0,Need an ambulance urgently Due to lack in any means of transport horse cart owner is charging very high prices.
108,4,0,accident in the area and arm broken need to go to hospital These days students are learning to bully from school itself.
109,4,3,The delivery workers of essential items should always wear masks as they come in contact with hundreds of people. Government should provide masks for them. I haven't received the big 19 kg gas cannister which I applied for almost 20 days ago.
110,4,4,My blood pressure is low. I have been coughing for several days now but recently I am also feeling a blockage on my throat weaknesss and fever. 
111,4,3,food poisoning by eating old distributed food run out of gas. Unable to get gas cylinders
112,4,3,I am hungry from last three days. My glucose level is very low and bp is very high. Need help urgently. Please provide coal for burning of stove.
113,4,0,I was travelling from karnataka to tamil nadu and met with an accident. My bike is broken and I need medical assistance for my fractured leg. I am not able to contact my friend from past few days. I think his life is in danger.
114,4,3,my daughter ate expired medicine. I am unable to call any hospital. Please provide coal for burning of stove.
115,4,4,my aunt is feeling uneasiness since morning. This can be a symptom of corona. Send check up team immediately. Need an ambulance urgently
116,4,2,I read a news article and I suspect I have cancer. As a precautionary measure I want my body checkup Where can I get bread and butter.
117,4,1,There was sparking in my electric generator due to fuel leakage and I got a third degree burn. Due to frequent power cuts i am not able to watch tv or radio. 
118,4,4,Dry ration provided is of bad quality. People are getting sick after consuming them. Equipment required at hospital. patients need mask and sanitizers
119,4,0,My father is sick.  I think i am in depression due to mental stress i am facing from my family regarding my marriage.
120,4,3,My son is ill due to bad weather. If you fuel your journey on the opinion of others you are going to run out of gas.
121,4,4,I have been coughing for several days now but recently I am also feeling a blockage on my throat weaknesss and fever.  Need an ambulance urgently
122,4,4,My wife is a construction worker and since we don't have enough meals now due to shortage of money she is weak and unable to get up There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
123,4,0,need medical assistance Was passing by the vathur bus stop and a group of boys teased me.
124,4,0,My inhaler isnt working and I need a new one asap. The only shop in my area is charging very high prices for items.
125,4,3,I am running out of my insulin injections. All the grocery shops near by do not have any kerosene oil or cooking oil. Government should provide it for people.
126,4,1,Me and my parents are stuck alone in our house with severe health issues. My father has heart problems and my mother is bedridden. I need medical assistance. the network tower broken down in Whitefield
127,5,4,I want to travel back to my native place. I need to take my father to hospital for dialysis.
128,5,4,Want curfew pass for case of emergency travel. My wife is a construction worker and since we don't have enough meals now due to shortage of money she is weak and unable to get up
129,5,5,Firstline workers facing issues as no cabs are available I cancelled my advance booking on irctc website but refund is not initiated yet.
130,5,2,Want to go back to my family place. Currently staying in the hotel. Need food packets for 20 people
131,5,5,Want to travel from bangalore to delhi. Any means of transport available? I want to travel back to my native place.
132,5,4,Residing in green zone but not able to get travel permssion even for getting essential household items. Me and my parents are stuck alone in our house with severe health issues. My father has heart problems and my mother is bedridden. I need medical assistance.
133,5,0,Few days back my vehicle was seized by police now don't have any means of transport. Was passing by the vathur bus stop and a group of boys teased me.
134,5,1,My visa about to get expire. Want some travel arrangements to be done to fly back to Austria. Helplines numbers are not working properly. Please update them.
135,5,1,Five construction workers started walking from kerela to bihar but are stranded in karnataka border. There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now.
136,5,1,I live in pg where its difficult to get food. When are flights and trains getting started. Whenever i try to reach some authorities from governement they just hang the call and don't respond. I am really irritated by this behaviour.
137,5,5,You are giving permission to celebrities like Rishi kapoors daughter to travel while normal people are not getting passes within the city.  Want to go back to my family place. Currently staying in the hotel.
138,5,3,I cancelled my advance booking on irctc website but refund is not initiated yet. run out of gas. Unable to get gas cylinders
139,5,5,Due to lack in any means of transport horse cart owner is charging very high prices. Please give update when daily buses will resume. My visa about to get expire. Want some travel arrangements to be done to fly back to Austria.
140,5,1,The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities. network coverage is weak in my house
141,5,1,Daily a truck of refugees breaks into the city via the south highway road. Travel ban should be imposed on the trucks too. network coverage is weak in my house
142,5,3,I want to drive to my home town to attend a funeral and need paas. send me back. There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
143,5,4,I came to Bangalore to work and have been stuck here for so long due to the lockdown I need to get to my elderly parents who are in a small town in Maharashtra which is declared a red zone.  Need an ambulance urgently
144,5,5,My son went to Delhi to prepare for competitive exams and now he is stuck there with some friends as their institution has closed down and he is unable to return.  I want to travel back to my native place.
145,5,1,Me and family stranded on roadside on the way to mysore. Car is not working. Whenever i try to reach some authorities from governement they just hang the call and don't respond. I am really irritated by this behaviour.
146,2,4,I need daily rations in Attur Me and my parents are stuck alone in our house with severe health issues. My father has heart problems and my mother is bedridden. I need medical assistance.
147,2,2,provide rations for 6 people for 10 days My maid complaint that she has money but was unable to buy groceries as nearby shops are closed and police is not allowing them to go to far places. Please make sure essential services are working properly and Help my maid.Her No. is 7625472689
148,2,1,Need prepared food for 20 people in slum Due to frequent power cuts i am not able to watch tv or radio. 
149,2,0,Need groceries for a family in quarantine I saw bruises on my maid face. I think she is a victim of domestic violence.
150,2,2,my sugar eggs and milk are over. I have small chidren.  Edible supplies are not available in my area i need bread and groceries
151,2,1,Need food packets for 20 people Helplines numbers are not working properly. Please update them.
152,2,0,I want bread and rice for my home I can hear voices of crying children from my neighbor. I think they are being abused.
153,2,0,Five construction workers started walking from kerela to bihar but are stranded in karnataka border. Get them food and help them go to their home. These days students are learning to bully from school itself.
154,2,2,The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities to buy groceries and medicines. Help us. I cannot cook food at my home as I do not have groceries and cooking oil.
155,2,3,I cannot cook food at my home as I do not have groceries and cooking oil. there has ben a leakage in gas pipeline for the past few days. Cant find professionals to fix it.
156,2,4,Dry ration provided is of bad quality. People are getting sick after consuming them. I read a news article and I suspect I have cancer. As a precautionary measure I want my body checkup
157,2,0,5 kg Rice 10 kg Wheat 20 L Oil needed Yesterday i saw few people bullying a person from my locality.
158,2,4,People are starving due to COVID19 crises. My son is ill due to bad weather.
159,2,1,My maid complaint that she has money but was unable to buy groceries as nearby shops are closed and police is not allowing them to go to far places. Please make sure essential services are working properly and Help my maid.Her No. is 7625472689 5 people trapped with no internet in my locality
160,2,2,No one is taking care of roadside animals. They are starving.Plase do something to help them instantly I cannot cook food at my home as I do not have groceries and cooking oil.
161,2,1,As my young daughter is still a toddler I need some cereals or Cerelac and milk urgently. Why call center/customer care of COVID19-HelpCare do not respond on time.
162,2,3,Even though the local auhtorities have arranged for raw vegetables for us to have please provide us with oil and spices to cook them which we have been asking for so long. Too frequent power cuts in our locality. Need supply of kerosine oil to run the generator
163,2,5,I am unable to find fruits or vegetables You are giving permission to celebrities like Rishi kapoors daughter to travel while normal people are not getting passes within the city. 
164,2,4,Where can I get bread and butter. Two people suffering from fever and cold
165,2,5,Edible supplies are not available in my area i need bread and groceries I live in pg where its difficult to get food. When are flights and trains getting started.
166,2,4,We are 6 people in my family and we are out of food. Anything you can give please do Two people suffering from fever and cold
167,2,2,I need food supplies for my family. Require lunch dinner meals everyday.  As my young daughter is still a toddler I need some cereals or Cerelac and milk urgently.
168,2,4,I am starving and hence require daily meals. please supply meals for me. My wife is a construction worker and since we don't have enough meals now due to shortage of money she is weak and unable to get up
169,2,4,Internet facility provided at railway station is so bad that i am not even able to buy groceries online. My blood pressure is low.
170,1,2,5 people trapped with no internet in my locality I need daily rations in Attur
171,1,2,requesting mobile recharge for 2 phones The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities to buy groceries and medicines. Help us.
172,1,5,network coverage is weak in my house Residing in green zone but not able to get travel permssion even for getting essential household items.
173,1,2,no connectivity in wifi router due to some wiring problem. provide rations for 6 people for 10 days
174,1,1,I am not able to call helplines Why governement is not spending money to improve the communication services in India?
175,1,0,my phone is damaged. Requesting spare Media houses have to much of liberty and they harass people a lot.
176,1,5,is it possible to deliver a phone in kormangla as mine is not working I want to travel back to my native place.
177,1,4,due to sim card issue I was not able to create hotspot My son is ill due to bad weather.
178,1,2,the network tower broken down in Whitefield Need food packets for 20 people
179,1,4,calls are not connecting from airtel I need to take my father to hospital for dialysis.
180,1,1,I was trying to connect to my family. someone please guide me. Tower in my area has sparking issues.
181,1,3,Due to frequent power cuts i am not able to watch tv or radio.  Please provide coal for burning of stove.
182,1,3,Why governement is not spending money to improve the communication services in India? There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
183,1,0,Why call center/customer care of COVID19-HelpCare do not respond on time. I recently came to know that my brother is adopted and that's why he is ill treated by my parents.
184,1,2,Helplines numbers are not working properly. Please update them. Internet facility provided at railway station is so bad that i am not even able to buy groceries online.
185,1,4,Tower in my area has sparking issues. I need to take my father to hospital for dialysis.
186,1,5,Whenever i try to reach some authorities from governement they just hang the call and don't respond. I am really irritated by this behaviour. Want to travel from bangalore to delhi. Any means of transport available?
187,1,0,Telecom companies have raised the prices of net pack so much that they are not affordable. These days students are learning to bully from school itself.
188,1,3,Internet facility provided at railway station is so bad that i am not even able to buy groceries online. Fuel is precious. Please use it wisely.
189,1,1,There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now. is it possible to deliver a phone in kormangla as mine is not working
190,1,5,All electricity is down in my society due to which all electronic devices are off. Phone wifi laptop all shut My visa about to get expire. Want some travel arrangements to be done to fly back to Austria.
191,3,2,run out of gas. Unable to get gas cylinders Need groceries for a family in quarantine
192,3,1,requesting supplies of kerosene There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now.
193,3,5,there are drums of flammable oil stored in our locality. Is it possible to store them elsewhere You are giving permission to celebrities like Rishi kapoors daughter to travel while normal people are not getting passes within the city. 
194,3,1,there has ben a leakage in gas pipeline for the past few days. Cant find professionals to fix it. Why governement is not spending money to improve the communication services in India?
195,3,4,Ambulances are unable to function due to scarecitry of fuel. My blood pressure is low.
196,3,3,Too frequent power cuts in our locality. Need supply of kerosine oil to run the generator run out of gas. Unable to get gas cylinders
197,3,5,Reduce oil prices immidiately Few days back my vehicle was seized by police now don't have any means of transport.
198,3,1,All the grocery shops near by do not have any kerosene oil or cooking oil. Government should provide it for people. Telecom companies have raised the prices of net pack so much that they are not affordable.
199,3,5,Poor families cook food on the stove using wood. But they cannot go far to collect due to restrictions. Give them fuel for cooking food. I live in pg where its difficult to get food. When are flights and trains getting started.
200,3,2,Frequent power cut in the area and we do not have candles or oil for lighting.  Need food packets for 20 people
201,3,4,The constant burning diya lamp in the temple needs oil to continue otherwise it will bring havoc on humanity. I read a news article and I suspect I have cancer. As a precautionary measure I want my body checkup
202,3,5,If you fuel your journey on the opinion of others you are going to run out of gas. I live in pg where its difficult to get food. When are flights and trains getting started.
203,3,3,Fuel is precious. Please use it wisely. Frequent power cut in the area and we do not have candles or oil for lighting. 
204,3,4,In upcoming days CNG usage will rise to more than petrol and diesel. my aunt is feeling uneasiness since morning. This can be a symptom of corona. Send check up team immediately.
205,3,4,Please provide coal for burning of stove. My inhaler isnt working and I need a new one asap.
206,3,4,We have been eating raw vegetables and fruits for the last 3 days as we do not have cooking gas in our cylinder and no one has delivered our new cylinder which we have requested a long time back. accident in the area and arm broken need to go to hospital
207,3,4,I haven't received the big 19 kg gas cannister which I applied for almost 20 days ago. I am running out of my insulin injections.
208,3,3,Need gas for car so that I can reach home. Reduce oil prices immidiately
209,3,2,There was sparking in my electric generator due to fuel leakage and I got a third degree burn. I am unable to find fruits or vegetables
210,0,0,I can hear voices of crying children from my neighbor. I think they are being abused. I am not able to contact my friend from past few days. I think his life is in danger.
211,0,2,Yesterday i saw few people bullying a person from my locality. Where can I get bread and butter.
212,0,3,Was passing by the vathur bus stop and a group of boys teased me. Please provide coal for burning of stove.
213,0,1,I feel that someone is going to break in and kill me. Telecom companies have raised the prices of net pack so much that they are not affordable.
214,0,2,The only shop in my area is charging very high prices for items. I need food supplies for my family. Require lunch dinner meals everyday. 
215,0,2,An old man is getting abused by his family I am unable to find fruits or vegetables
216,0,5,Someone is continusly following me. Feeling scared. Residing in green zone but not able to get travel permssion even for getting essential household items.
217,0,2,I am not able to contact my friend from past few days. I think his life is in danger. As my young daughter is still a toddler I need some cereals or Cerelac and milk urgently.
218,0,0,I saw bruises on my maid face. I think she is a victim of domestic violence. My neighbor Mr. Rao is a salesman who is frustrated due to no income and he fights with his wife shouts horribly and breaks things almost everyday
219,0,0,Due to lack in any means of transport horse cart owner is charging very high prices. Devesh was beating Aabhas with rod stick.
220,0,4,My father is ill treated. My son is ill due to bad weather.
221,0,0,I recently came to know that my brother is adopted and that's why he is ill treated by my parents. Someone is continusly following me. Feeling scared.
222,0,5,Nearby shops are charging way beyond the MRP prices. Want curfew pass for case of emergency travel.
223,0,1,Devesh was beating Aabhas with rod stick. network coverage is weak in my house
224,0,5,These days students are learning to bully from school itself. I want to drive to my home town to attend a funeral and need paas. send me back.
225,0,5,I think i am in depression due to mental stress i am facing from my family regarding my marriage. Residing in green zone but not able to get travel permssion even for getting essential household items.
226,0,4,Police assaulted senior citizen for not having proper ration cards. my aunt is feeling uneasiness since morning. This can be a symptom of corona. Send check up team immediately.
227,0,3,Media houses have to much of liberty and they harass people a lot. There was sparking in my electric generator due to fuel leakage and I got a third degree burn.
228,0,2,My neighbor Mr. Rao is a salesman who is frustrated due to no income and he fights with his wife shouts horribly and breaks things almost everyday Where can I get bread and butter.
229,0,5,An elderly man in our locality was tested positive for coronavirus long back has recovered and since then everybody is hateful of the entire family and even the shopkeepers harass them by refusing to sell items to them.  The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities.
230,0,5,3 people have crashed in my neighbors house for some money matter. My son went to Delhi to prepare for competitive exams and now he is stuck there with some friends as their institution has closed down and he is unable to return. 
231,4,2,Two people suffering from fever and cold I cannot cook food at my home as I do not have groceries and cooking oil.
232,4,1,I need to take my father to hospital for dialysis. calls are not connecting from airtel
233,4,0,Equipment required at hospital. patients need mask and sanitizers An old man is getting abused by his family
234,4,0,Need an ambulance urgently I am not able to contact my friend from past few days. I think his life is in danger.
235,4,2,accident in the area and arm broken need to go to hospital Dry ration provided is of bad quality. People are getting sick after consuming them.
236,4,2,The delivery workers of essential items should always wear masks as they come in contact with hundreds of people. Government should provide masks for them. The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities to buy groceries and medicines. Help us.
237,4,5,My blood pressure is low. I came to Bangalore to work and have been stuck here for so long due to the lockdown I need to get to my elderly parents who are in a small town in Maharashtra which is declared a red zone. 
238,4,4,food poisoning by eating old distributed food accident in the area and arm broken need to go to hospital
239,4,1,I am hungry from last three days. My glucose level is very low and bp is very high. Need help urgently. Helplines numbers are not working properly. Please update them.
240,4,2,I was travelling from karnataka to tamil nadu and met with an accident. My bike is broken and I need medical assistance for my fractured leg. People are starving due to COVID19 crises.
241,4,0,my daughter ate expired medicine. I am unable to call any hospital. I saw bruises on my maid face. I think she is a victim of domestic violence.
242,4,0,my aunt is feeling uneasiness since morning. This can be a symptom of corona. Send check up team immediately. Media houses have to much of liberty and they harass people a lot.
243,4,0,I read a news article and I suspect I have cancer. As a precautionary measure I want my body checkup I feel that someone is going to break in and kill me.
244,4,4,There was sparking in my electric generator due to fuel leakage and I got a third degree burn. I need to take my father to hospital for dialysis.
245,4,5,Dry ration provided is of bad quality. People are getting sick after consuming them. I live in pg where its difficult to get food. When are flights and trains getting started.
246,4,0,My father is sick.  Was passing by the vathur bus stop and a group of boys teased me.
247,4,2,My son is ill due to bad weather. I need food supplies for my family. Require lunch dinner meals everyday. 
248,4,1,I have been coughing for several days now but recently I am also feeling a blockage on my throat weaknesss and fever.  the network tower broken down in Whitefield
249,4,1,My wife is a construction worker and since we don't have enough meals now due to shortage of money she is weak and unable to get up network coverage is weak in my house
250,4,0,need medical assistance Police assaulted senior citizen for not having proper ration cards.
251,4,0,My inhaler isnt working and I need a new one asap. An old man is getting abused by his family
252,4,1,I am running out of my insulin injections. Internet facility provided at railway station is so bad that i am not even able to buy groceries online.
